month,day,hours,temperature,rain,municipal,cellId,language,circoscrizione
11,1,0.0,13.2,0.0,Trento,5201,it,S.GIUSEPPE-S.CHIARA
11,1,1.0,12.9,0.0,Pinzolo,7167,tl,
11,1,1.5,12.4,0.0,Cavalese,8151,en,
11,1,16.5,14.8,0.0,Rovereto,2855,it,
11,1,17.0,14.4,0.0,San Michele all'Adige,6838,ru,
11,1,21.5,13.4,0.0,Trento,5084,es,OLTREFERSINA
11,2,13.5,14.5,0.0,Rovereto,2854,und,
11,2,18.0,13.2,0.0,Trento,5201,it,S.GIUSEPPE-S.CHIARA
11,2,19.0,12.9,0.0,Trento,5201,pt,S.GIUSEPPE-S.CHIARA
11,3,16.0,16.3,0.0,Pinzolo,7166,en,
11,3,16.0,16.3,0.0,Campitello di Fassa,10746,it,
11,3,19.0,13.4,0.0,Castelfondo,10114,en,
11,3,19.5,13.0,0.0,Trento,4967,in,OLTREFERSINA
11,3,23.0,10.0,0.0,Trento,4850,en,OLTREFERSINA
11,4,6.5,7.6,0.0,Andalo,6361,in,
11,4,18.0,7.8,0.2,Trento,5200,it,CENTRO STORICO PIEDICASTELLO
11,4,21.0,7.5,0.0,San Michele all'Adige,6721,it,
11,4,21.0,7.5,0.0,San Michele all'Adige,6721,it,
11,4,23.5,7.5,0.0,San Michele all'Adige,6721,und,
11,5,14.5,15.0,0.0,Rovereto,2972,it,
11,5,18.0,11.5,0.0,Tesero,8153,it,
11,5,18.0,11.5,0.0,Trento,5200,it,CENTRO STORICO PIEDICASTELLO
11,6,14.5,13.5,0.0,Tesero,8039,it,
11,6,14.5,13.5,0.0,Trento,5203,it,POVO
11,6,18.0,10.9,0.0,Spera,5348,it,
11,7,10.0,10.0,0.0,Don,9413,it,
11,7,14.0,14.9,0.0,Trento,4264,it,RAVINA-ROMAGNANO
11,7,16.5,13.6,0.0,Baselga di Pinè,6029,ht,
11,7,17.0,13.2,0.0,Coredo,8942,it,
11,7,18.0,12.3,0.0,Trento,5200,it,CENTRO STORICO PIEDICASTELLO
11,7,13.5,13.8,0.0,Malè,8810,it,
11,7,22.5,10.2,0.0,Baselga di Pinè,6147,in,
11,8,7.0,9.6,0.0,Mezzocorona,6839,hu,
11,8,7.0,9.6,0.0,Trento,5200,en,CENTRO STORICO PIEDICASTELLO
11,8,13.5,11.4,0.0,Tuenno,8585,it,
11,8,13.5,11.4,0.0,Lona-Lases,6261,nl,
11,8,14.0,11.4,0.0,Tuenno,8585,it,
11,8,14.0,11.4,0.0,Trento,5083,en,CENTRO STORICO PIEDICASTELLO
11,8,17.0,10.9,0.0,Trento,5083,en,CENTRO STORICO PIEDICASTELLO
11,8,15.5,11.5,0.0,Trento,5200,sl,CENTRO STORICO PIEDICASTELLO
11,8,20.5,10.6,0.0,Tuenno,8585,it,
11,8,20.0,10.8,0.0,Trento,5083,en,CENTRO STORICO PIEDICASTELLO
11,8,20.0,10.8,0.0,Tuenno,8585,und,
11,8,20.0,10.8,0.0,Baselga di Pinè,6146,in,
11,8,20.5,10.6,0.0,Don,9413,it,
11,8,20.5,10.6,0.0,Trento,4849,it,RAVINA-ROMAGNANO
11,9,0.0,9.9,0.0,Trento,5200,es,CENTRO STORICO PIEDICASTELLO
11,8,20.5,10.6,0.0,Tuenno,8585,it,
11,9,4.0,9.6,1.6,Tuenno,8585,it,
11,9,4.0,9.6,1.6,Tuenno,8585,pt,
11,9,4.0,9.6,1.6,Tuenno,8585,it,
